Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,establishment_age,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Item_MRP_Categories,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
FDG38,8.975,Regular,0.088257771,Processed Foods,84.1224,OUT010,21,0,0,170.4448,1,True,False,False,False
FDO01,21.1,Regular,0.020750867,Starchy Foods,128.7994,OUT049,20,1,2,1927.491,2,False,True,False,False
NCQ43,17.75,NA,0.111527348,Non perishable,110.2912,OUT045,17,0,1,873.5296,2,False,True,False,False
FDU47,12.8,Regular,0.114318263,Starchy Foods,142.2838,OUT018,10,1,0,421.4514,3,False,False,True,False
FDZ02,6.905,Regular,0.038363204,Drinks,98.1726,OUT017,12,0,1,587.2356,2,False,True,False,False
FDS04,10.195,Regular,0.245483691,Processed Foods,141.8838,OUT010,21,0,0,280.9676,2,True,False,False,False
FDQ31,5.785,NA,0.053930934,Fruits and Vegetables,87.3856,OUT049,20,1,2,878.856,1,False,True,False,False
FDT57,15.2,Low Fat,0.018942606,Processed Foods,236.0248,OUT027,34,1,0,6636.6944,4,False,False,False,True
FDK50,7.96,Low Fat,0.028339599,Processed Foods,162.4894,OUT013,32,2,0,1779.6834,3,False,True,False,False
FDB49,8.3,Regular,0.030151351,Processed Foods,98.7384,OUT046,22,0,2,492.692,2,False,True,False,False
FDN56,5.46,NA,0.107274301,Fruits and Vegetables,145.5786,OUT045,17,0,1,3900.9222,3,False,True,False,False
FDU02,13.35,Low Fat,0.102670882,Drinks,228.6352,OUT049,20,1,2,3435.528,4,False,True,False,False
FDK26,5.46,Regular,0.032177405,Processed Foods,185.424,OUT046,22,0,2,5219.872,3,False,True,False,False
DRA24,19.35,NA,0.039734882,Drinks,165.7868,OUT027,34,1,0,4913.604,3,False,False,False,True
FDF53,20.75,Regular,0.083536989,Processed Foods,180.3318,OUT013,32,2,0,4149.9314,3,False,True,False,False
NCZ30,6.59,NA,0.026225693,Non perishable,119.0098,OUT049,20,1,2,2530.7058,2,False,True,False,False
FDF14,7.55,Low Fat,0.0273235,Processed Foods,151.934,OUT017,12,0,1,1837.608,3,False,True,False,False
FDU40,20.85,Low Fat,0.03747983,Processed Foods,192.7478,OUT045,17,0,1,2131.2258,4,False,True,False,False
NCL18,18.85,NA,0.168531813,Non perishable,192.5136,OUT017,12,0,1,2916.204,4,False,True,False,False
FDP25,15.2,Low Fat,0.021293909,Processed Foods,218.4824,OUT018,10,1,0,1528.6768,4,False,False,True,False
NCV05,10.1,NA,0.030269774,Non perishable,152.4656,OUT045,17,0,1,2934.8464,3,False,True,False,False
FDV49,10.0,Low Fat,0.025822315,Processed Foods,262.7226,OUT035,15,0,1,3171.8712,4,False,True,False,False
FDJ56,8.985,NA,0.183688161,Fruits and Vegetables,100.27,OUT049,20,1,2,998.7,2,False,True,False,False
FDI40,11.5,Regular,0.125579201,Processed Foods,99.7358,OUT035,15,0,1,1105.8938,2,False,True,False,False
NCK05,20.1,NA,0.077079177,Non perishable,61.5536,OUT027,34,1,0,918.804,1,False,False,False,True
NCI43,19.85,NA,0.026074491,Non perishable,48.6376,OUT018,10,1,0,575.2512,1,False,False,True,False
NCE42,21.1,NA,0.010593469,Non perishable,234.2958,OUT013,32,2,0,3739.1328,4,False,True,False,False
FDP40,4.555,Regular,0.034357169,Processed Foods,112.6544,OUT046,22,0,2,2684.5056,2,False,True,False,False
FDU40,20.85,Low Fat,0.037396901,Processed Foods,193.8478,OUT035,15,0,1,2712.4692,4,False,True,False,False
DRK47,7.905,NA,0.064011067,Drinks,230.2694,OUT013,32,2,0,4567.388,4,False,True,False,False
FDR32,6.78,NA,0.085981978,Fruits and Vegetables,228.4694,OUT045,17,0,1,5480.8656,4,False,True,False,False
FDS43,11.65,NA,0.040318693,Fruits and Vegetables,186.224,OUT027,34,1,0,5033.448,4,False,False,False,True
FDH50,15.0,Regular,0.161762835,Processed Foods,185.9266,OUT045,17,0,1,2581.9724,4,False,True,False,False
FDZ09,17.6,Low Fat,0.104878967,Processed Foods,164.8868,OUT046,22,0,2,2456.802,3,False,True,False,False
FDS19,13.8,NA,0.107469819,Fruits and Vegetables,77.8012,OUT010,21,0,0,227.7036,1,True,False,False,False
NCU30,5.11,NA,0.034868095,Non perishable,163.821,OUT035,15,0,1,2120.573,3,False,True,False,False
FDI27,8.71,Regular,0.046079575,Drinks,43.5744,OUT045,17,0,1,407.4696,1,False,True,False,False
FDQ09,7.235,Low Fat,0.058083831,Processed Foods,113.6834,OUT013,32,2,0,230.3668,2,False,True,False,False
FDB35,12.3,Regular,0.064618976,Starchy Foods,89.8804,OUT046,22,0,2,1286.3256,1,False,True,False,False
DRD12,6.96,NA,0.077178965,Drinks,93.1146,OUT035,15,0,1,2189.1504,1,False,True,False,False
FDW07,18.0,NA,0.142910689,Fruits and Vegetables,89.6514,OUT049,20,1,2,1859.5794,1,False,True,False,False
DRE13,6.28,NA,0.027682047,Drinks,85.5198,OUT013,32,2,0,1744.396,1,False,True,False,False
FDR11,10.5,Regular,0.142511272,Starchy Foods,158.7578,OUT035,15,0,1,2246.4092,3,False,True,False,False
DRG36,14.15,NA,0.09557165,Drinks,171.0106,OUT045,17,0,1,4106.6544,3,False,True,False,False
DRD37,9.8,NA,0.02316823,Drinks,47.506,OUT010,21,0,0,186.424,1,True,False,False,False
FDX03,15.85,Regular,0.061045133,Meats,44.7744,OUT013,32,2,0,181.0976,1,False,True,False,False
FDU46,10.3,Regular,0.011148865,Processed Foods,84.854,OUT045,17,0,1,778.986,1,False,True,False,False
FDV03,17.6,Low Fat,0.058091269,Meats,156.2314,OUT046,22,0,2,2947.4966,3,False,True,False,False
FDZ37,8.1,Regular,0.019672774,Processed Foods,86.4198,OUT027,34,1,0,1918.8356,1,False,False,False,True
FDI24,10.3,Low Fat,0.078678276,Processed Foods,177.037,OUT013,32,2,0,3705.177,3,False,True,False,False
FDX33,9.195,Regular,0.117667492,Processed Foods,159.5578,OUT049,20,1,2,1283.6624,3,False,True,False,False
FDG47,12.8,Low Fat,0.069902438,Starchy Foods,261.3252,OUT018,10,1,0,3410.2276,4,False,False,True,False
FDZ57,10.0,Regular,0.037757166,Processed Foods,126.7994,OUT035,15,0,1,1284.994,2,False,True,False,False
FDT04,17.25,Low Fat,0.107021498,Processed Foods,40.5822,OUT035,15,0,1,785.644,1,False,True,False,False
FDO49,10.6,Regular,0.032892112,Starchy Foods,49.3008,OUT027,34,1,0,1518.024,1,False,False,False,True
NCB43,20.2,NA,0.100477461,Non perishable,187.7898,OUT017,12,0,1,2245.0776,4,False,True,False,False
NCL53,7.5,NA,0.036228067,Non perishable,175.2028,OUT035,15,0,1,4427.57,3,False,True,False,False
FDM01,7.895,Regular,0.094488485,Starchy Foods,100.7332,OUT013,32,2,0,1230.3984,2,False,True,False,False
FDO12,15.75,Low Fat,0.055154296,Processed Foods,195.5452,OUT018,10,1,0,1174.4712,4,False,False,True,False
FDO13,7.865,Low Fat,0.106907604,Starchy Foods,162.8526,OUT019,34,0,2,493.3578,3,True,False,False,False
FDI04,13.65,Regular,0.073060301,Processed Foods,196.2426,OUT045,17,0,1,2570.6538,4,False,True,False,False
NCK05,20.1,NA,0.077439606,Non perishable,60.6536,OUT035,15,0,1,980.0576,1,False,True,False,False
FDP28,13.65,Regular,0.080968973,Processed Foods,259.7936,OUT018,10,1,0,2609.936,4,False,False,True,False
FDJ44,12.3,NA,0.106492562,Fruits and Vegetables,176.3396,OUT049,20,1,2,1395.5168,3,False,True,False,False
FDS25,6.885,Regular,0.139330557,Processed Foods,109.5228,OUT027,34,1,0,3426.2068,2,False,False,False,True
FDC02,21.35,Low Fat,0.068822477,Processed Foods,258.3278,OUT046,22,0,2,7028.8506,4,False,True,False,False
FDT23,7.72,Regular,0.074669288,Starchy Foods,76.3986,OUT013,32,2,0,1402.1748,1,False,True,False,False
NCD31,12.1,NA,0.025834128,Non perishable,165.1526,OUT010,21,0,0,164.4526,3,True,False,False,False
FDV19,14.85,NA,0.035227697,Fruits and Vegetables,159.5578,OUT013,32,2,0,2085.9514,3,False,True,False,False
NCQ30,7.725,NA,0.050901814,Non perishable,120.5414,OUT019,34,0,2,365.5242,2,True,False,False,False
NCD18,16.0,NA,0.072965144,Non perishable,231.3668,OUT018,10,1,0,4607.336,4,False,False,True,False
FDL10,8.395,Low Fat,0.039492207,Processed Foods,97.3042,OUT046,22,0,2,1091.2462,2,False,True,False,False
FDX20,7.365,NA,0.042552205,Fruits and Vegetables,225.172,OUT035,15,0,1,3395.58,4,False,True,False,False
FDM32,20.5,NA,0.020587886,Fruits and Vegetables,89.583,OUT013,32,2,0,1797.66,1,False,True,False,False
FDR09,18.25,Low Fat,0.130095044,Processed Foods,257.2962,OUT010,21,0,0,517.9924,4,True,False,False,False
FDL34,16.0,Low Fat,0.040747616,Processed Foods,140.2496,OUT027,34,1,0,4093.3384,2,False,False,False,True
NCK42,7.475,NA,0.013146636,Non perishable,214.5192,OUT045,17,0,1,2804.3496,4,False,True,False,False
FDU23,12.15,Low Fat,0.02176755,Starchy Foods,164.6184,OUT045,17,0,1,3797.7232,3,False,True,False,False
DRI01,7.97,NA,0.0,Drinks,172.0422,OUT018,10,1,0,5690.5926,3,False,False,True,False
FDG16,15.25,Low Fat,0.08995645,Processed Foods,217.1192,OUT049,20,1,2,3235.788,4,False,True,False,False
FDY56,16.35,NA,0.062665642,Fruits and Vegetables,225.6062,OUT018,10,1,0,1579.9434,4,False,False,True,False
FDO24,11.1,Low Fat,0.176182345,Processed Foods,158.1604,OUT035,15,0,1,1901.5248,3,False,True,False,False
NCV29,11.8,NA,0.022843501,Non perishable,177.8686,OUT046,22,0,2,4621.9836,3,False,True,False,False
FDQ48,14.3,Regular,0.034411238,Processed Foods,98.6726,OUT046,22,0,2,782.9808,2,False,True,False,False
FDU15,13.65,Regular,0.0,Meats,36.6532,OUT017,12,0,1,755.0172,1,False,True,False,False
FDS47,16.75,Low Fat,0.128861359,Starchy Foods,86.2856,OUT035,15,0,1,1406.1696,1,False,True,False,False
FDO50,16.25,Low Fat,0.078290271,Processed Foods,93.1804,OUT049,20,1,2,1194.4452,1,False,True,False,False
FDW48,18.0,Low Fat,0.008539208,Processed Foods,81.2618,OUT035,15,0,1,402.809,1,False,True,False,False
FDV20,20.2,NA,0.100095288,Fruits and Vegetables,125.2678,OUT010,21,0,0,127.1678,2,True,False,False,False
FDW47,15.0,Low Fat,0.046447328,Starchy Foods,121.5414,OUT049,20,1,2,2436.828,2,False,True,False,False
FDA07,7.55,NA,0.030794774,Fruits and Vegetables,122.9072,OUT027,34,1,0,4532.7664,2,False,False,False,True
FDZ16,16.85,Regular,0.159081735,Processed Foods,193.5478,OUT027,34,1,0,4649.9472,4,False,False,False,True
FDN09,14.15,Low Fat,0.034705807,Processed Foods,241.6828,OUT027,34,1,0,4873.656,4,False,False,False,True
FDB50,13.0,Low Fat,0.154487495,Processed Foods,77.2986,OUT017,12,0,1,1246.3776,1,False,True,False,False
NCL06,14.65,NA,0.072178679,Non perishable,262.9594,OUT049,20,1,2,5233.188,4,False,True,False,False
DRG03,14.5,Low Fat,0.061686402,Drinks,153.9998,OUT027,34,1,0,5229.1932,3,False,False,False,True
DRM59,5.88,NA,0.003599378,Drinks,152.2998,OUT045,17,0,1,3075.996,3,False,True,False,False
FDU25,12.35,Low Fat,0.026832182,Processed Foods,57.3246,OUT017,12,0,1,1332.2658,1,False,True,False,False
NCU42,9.0,NA,0.019616991,Non perishable,169.6474,OUT017,12,0,1,2526.711,3,False,True,False,False
FDH21,10.395,Low Fat,0.05226427,Meats,158.4604,OUT010,21,0,0,158.4604,3,True,False,False,False
DRO47,10.195,NA,0.112203445,Drinks,111.786,OUT035,15,0,1,1697.79,2,False,True,False,False
FDC44,15.6,NA,0.171761077,Fruits and Vegetables,115.7518,OUT027,34,1,0,5351.0346,2,False,False,False,True
NCL29,9.695,NA,0.114170506,Non perishable,158.9604,OUT045,17,0,1,1743.0644,3,False,True,False,False
FDL48,19.35,Regular,0.082266419,Processed Foods,48.8034,OUT046,22,0,2,340.2238,1,False,True,False,False
FDJ21,16.7,Regular,0.038685176,Processed Foods,146.6102,OUT018,10,1,0,2770.3938,3,False,False,True,False
FDT40,5.985,Low Fat,0.095795326,Processed Foods,128.4678,OUT046,22,0,2,508.6712,2,False,True,False,False
NCD43,8.85,NA,0.026814124,Non perishable,103.7964,OUT010,21,0,0,210.3928,2,True,False,False,False
FDM28,15.7,Low Fat,0.045203854,Processed Foods,180.266,OUT046,22,0,2,1617.894,3,False,True,False,False
FDR35,12.5,Low Fat,0.020697723,Starchy Foods,198.8742,OUT046,22,0,2,5773.1518,4,False,True,False,False
NCP17,19.35,NA,0.027827268,Non perishable,65.6168,OUT018,10,1,0,383.5008,1,False,False,True,False
FDT23,7.72,Regular,0.074883035,Starchy Foods,79.8986,OUT045,17,0,1,1090.5804,1,False,True,False,False
FDX15,17.2,Low Fat,0.156298858,Meats,162.1578,OUT046,22,0,2,1283.6624,3,False,True,False,False
NCU42,9.0,NA,0.019412192,Non perishable,166.5474,OUT027,34,1,0,4379.6324,3,False,False,False,True
FDV23,11.0,Low Fat,0.105324246,Starchy Foods,125.7046,OUT027,34,1,0,3237.1196,2,False,False,False,True
FDY34,10.5,Regular,0.019227816,Processed Foods,163.9842,OUT019,34,0,2,331.5684,3,True,False,False,False
FDE16,8.895,Low Fat,0.044093978,Processed Foods,208.3954,OUT010,21,0,0,1041.977,4,True,False,False,False
FDV60,20.2,Regular,0.117599259,Processed Foods,195.311,OUT045,17,0,1,3338.987,4,False,True,False,False
FDQ44,20.5,NA,0.036140297,Fruits and Vegetables,120.0756,OUT046,22,0,2,2302.3364,2,False,True,False,False
FDZ09,17.6,Low Fat,0.104791689,Processed Foods,165.2868,OUT013,32,2,0,3111.9492,3,False,True,False,False
FDW36,11.15,Low Fat,0.057021156,Processed Foods,106.8622,OUT049,20,1,2,2011.3818,2,False,True,False,False
NCZ30,6.59,NA,0.026058181,Non perishable,121.9098,OUT027,34,1,0,3374.2744,2,False,False,False,True
FDL09,19.6,Regular,0.12829573,Processed Foods,167.2816,OUT045,17,0,1,2013.3792,3,False,True,False,False
FDE05,10.895,Regular,0.03263762,Processed Foods,147.7102,OUT017,12,0,1,1895.5326,3,False,True,False,False
DRO35,13.85,NA,0.034765901,Drinks,114.2492,OUT017,12,0,1,1853.5872,2,False,True,False,False
FDN60,15.1,Low Fat,0.095696334,Processed Foods,159.7604,OUT017,12,0,1,2693.8268,3,False,True,False,False
NCZ29,15.0,NA,0.071371458,Non perishable,125.2362,OUT046,22,0,2,1384.1982,2,False,True,False,False
FDX08,12.85,NA,0.022696131,Fruits and Vegetables,179.9318,OUT018,10,1,0,2706.477,3,False,False,True,False
FDZ16,16.85,Regular,0.267565911,Processed Foods,194.1478,OUT010,21,0,0,1162.4868,4,True,False,False,False
DRL37,15.5,NA,0.053327763,Drinks,44.477,OUT013,32,2,0,865.54,1,False,True,False,False
FDL21,15.85,Regular,0.007145063,Processed Foods,41.048,OUT035,15,0,1,479.376,1,False,True,False,False
FDW10,21.2,Low Fat,0.071076055,Processed Foods,174.837,OUT017,12,0,1,5469.547,3,False,True,False,False
FDB53,13.35,Low Fat,0.139426044,Processed Foods,148.3392,OUT035,15,0,1,3877.6192,3,False,True,False,False
DRM49,6.11,NA,0.151925271,Drinks,46.6086,OUT035,15,0,1,624.5204,1,False,True,False,False
NCD06,13.0,NA,0.099479703,Non perishable,44.906,OUT049,20,1,2,652.484,1,False,True,False,False
FDN10,11.5,Low Fat,0.045900448,Processed Foods,118.9124,OUT027,34,1,0,2844.2976,2,False,False,False,True
FDS13,6.465,Low Fat,0.21799414,Processed Foods,266.5884,OUT019,34,0,2,1324.942,4,True,False,False,False
FDH38,6.425,Low Fat,0.010454459,Processed Foods,115.6808,OUT049,20,1,2,1406.1696,2,False,True,False,False
FDY21,15.1,Low Fat,0.172641213,Processed Foods,195.111,OUT027,34,1,0,5303.097,4,False,False,False,True
FDT60,12.0,Low Fat,0.075701524,Processed Foods,124.6388,OUT045,17,0,1,2105.2596,2,False,True,False,False
DRZ24,7.535,NA,0.081914677,Drinks,120.344,OUT049,20,1,2,3835.008,2,False,True,False,False
FDW56,7.68,NA,0.071010513,Fruits and Vegetables,190.9162,OUT049,20,1,2,5195.2374,4,False,True,False,False
FDG57,14.7,NA,0.072444983,Fruits and Vegetables,48.6034,OUT045,17,0,1,194.4136,1,False,True,False,False
FDY14,10.3,Low Fat,0.069981909,Drinks,263.0226,OUT013,32,2,0,6079.4198,4,False,True,False,False
FDS19,13.8,NA,0.06457046,Fruits and Vegetables,76.2012,OUT017,12,0,1,1669.8264,1,False,True,False,False
FDX01,10.1,Low Fat,0.024159767,Processed Foods,114.715,OUT035,15,0,1,815.605,2,False,True,False,False
FDV32,7.785,NA,0.089210159,Fruits and Vegetables,64.251,OUT017,12,0,1,1328.271,1,False,True,False,False
DRI39,13.8,Low Fat,0.097611115,Drinks,54.893,OUT017,12,0,1,679.116,1,False,True,False,False
NCU05,11.8,NA,0.058975504,Non perishable,81.7618,OUT018,10,1,0,966.7416,1,False,False,True,False
NCA29,10.5,NA,0.027430696,Non perishable,171.1106,OUT017,12,0,1,3593.3226,3,False,True,False,False
FDO10,13.65,Regular,0.0,Processed Foods,58.7588,OUT019,34,0,2,400.8116,1,True,False,False,False
DRL47,19.7,NA,0.038815341,Drinks,124.2362,OUT045,17,0,1,1887.543,2,False,True,False,False
FDA50,16.25,Low Fat,0.152632413,Drinks,98.441,OUT019,34,0,2,96.541,2,True,False,False,False
FDU23,12.15,Low Fat,0.021618297,Starchy Foods,167.1184,OUT027,34,1,0,2476.776,3,False,False,False,True
FDR27,15.1,Regular,0.096491904,Meats,134.4942,OUT018,10,1,0,1854.9188,2,False,False,True,False
DRH36,16.2,NA,0.033568871,Drinks,74.9696,OUT017,12,0,1,2162.5184,1,False,True,False,False
FDZ51,11.3,Regular,0.054507422,Meats,96.3094,OUT013,32,2,0,666.4658,2,False,True,False,False
FDQ40,11.1,Regular,0.063079544,Processed Foods,175.7712,OUT019,34,0,2,351.5424,3,True,False,False,False
FDB17,13.15,Low Fat,0.064208126,Processed Foods,180.1976,OUT019,34,0,2,181.0976,3,True,False,False,False
FDQ16,19.7,Low Fat,0.041974489,Processed Foods,108.6912,OUT017,12,0,1,2183.824,2,False,True,False,False
FDG09,20.6,NA,0.048207431,Fruits and Vegetables,188.0556,OUT017,12,0,1,2065.3116,4,False,True,False,False
DRI59,9.5,NA,0.041065647,Drinks,223.5088,OUT017,12,0,1,4697.8848,4,False,True,False,False
FDH47,13.5,Regular,0.128709014,Starchy Foods,96.1068,OUT013,32,2,0,1846.9292,2,False,True,False,False
FDA21,13.65,Low Fat,0.03596071,Processed Foods,186.3924,OUT046,22,0,2,1665.8316,4,False,True,False,False
NCO05,7.27,NA,0.046520703,Non perishable,97.7384,OUT013,32,2,0,591.2304,2,False,True,False,False
NCL31,7.39,NA,0.210596485,Non perishable,144.747,OUT019,34,0,2,143.147,3,True,False,False,False
NCH42,6.86,NA,0.03674399,Non perishable,231.201,OUT017,12,0,1,6201.927,4,False,True,False,False
FDG57,14.7,NA,0.072238195,Fruits and Vegetables,47.5034,OUT013,32,2,0,972.068,1,False,True,False,False
NCQ50,18.75,NA,0.034141213,Non perishable,211.9218,OUT027,34,1,0,3419.5488,4,False,False,False,True
FDK24,9.195,Low Fat,0.101500374,Processed Foods,45.2744,OUT045,17,0,1,679.116,1,False,True,False,False
DRG39,14.15,Low Fat,0.042246575,Drinks,54.2982,OUT049,20,1,2,1104.5622,1,False,True,False,False
FDX46,12.3,Regular,0.058105769,Processed Foods,60.4562,OUT035,15,0,1,1777.686,1,False,True,False,False
FDY01,11.8,Regular,0.170141787,Processed Foods,116.7834,OUT013,32,2,0,2303.668,2,False,True,False,False
FDJ40,13.6,Regular,0.049579883,Processed Foods,110.0912,OUT035,15,0,1,1965.4416,2,False,True,False,False
FDS01,11.6,Low Fat,0.0,Processed Foods,178.2686,OUT049,20,1,2,1955.4546,3,False,True,False,False
FDJ09,15.0,Low Fat,0.058725134,Processed Foods,43.6744,OUT017,12,0,1,407.4696,1,False,True,False,False
FDT49,7.0,Low Fat,0.0,Processed Foods,105.628,OUT049,20,1,2,1384.864,2,False,True,False,False
FDW50,13.1,Low Fat,0.075695552,Drinks,168.4158,OUT049,20,1,2,1504.0422,3,False,True,False,False
FDV39,11.3,Low Fat,0.007321067,Meats,197.7426,OUT017,12,0,1,2570.6538,4,False,True,False,False
FDY36,12.3,Low Fat,0.009463757,Processed Foods,73.838,OUT017,12,0,1,1245.046,1,False,True,False,False
NCE18,10.0,NA,0.021407511,Non perishable,248.175,OUT013,32,2,0,3495.45,4,False,True,False,False
FDB05,5.155,Low Fat,0.145669556,Processed Foods,247.2776,OUT019,34,0,2,743.0328,4,True,False,False,False
FDK14,6.98,Low Fat,0.041273236,Processed Foods,82.4934,OUT018,10,1,0,982.7208,1,False,False,True,False
FDP10,19.0,Low Fat,0.128090139,Processed Foods,107.0622,OUT046,22,0,2,1376.2086,2,False,True,False,False
FDC45,17.0,NA,0.135707553,Fruits and Vegetables,172.5106,OUT035,15,0,1,2053.3272,3,False,True,False,False
FDS48,15.15,Low Fat,0.027774002,Processed Foods,152.3708,OUT035,15,0,1,3159.8868,3,False,True,False,False
FDX04,19.6,Regular,0.07278643,Processed Foods,49.4376,OUT019,34,0,2,191.7504,1,True,False,False,False
FDQ20,8.325,NA,0.029640604,Fruits and Vegetables,40.8138,OUT027,34,1,0,1543.3244,1,False,False,False,True
FDU13,8.355,Low Fat,0.187939003,Processed Foods,146.9418,OUT045,17,0,1,1029.9926,3,False,True,False,False
NCR53,12.15,NA,0.14492016,Non perishable,224.4404,OUT013,32,2,0,1800.3232,4,False,True,False,False
FDN49,17.25,Regular,0.125419157,Starchy Foods,40.048,OUT049,20,1,2,399.48,1,False,True,False,False
FDR31,6.46,NA,0.049121972,Fruits and Vegetables,144.6102,OUT013,32,2,0,2916.204,3,False,True,False,False
DRI03,6.03,Low Fat,0.0,Drinks,175.3028,OUT027,34,1,0,3719.1588,3,False,False,False,True
FDL58,5.78,Regular,0.074149074,Processed Foods,262.2568,OUT046,22,0,2,5273.136,4,False,True,False,False
NCJ05,18.7,NA,0.04604992,Non perishable,151.9682,OUT013,32,2,0,3354.3004,3,False,True,False,False
FDS10,19.2,Low Fat,0.035384612,Processed Foods,180.3318,OUT017,12,0,1,3428.2042,3,False,True,False,False
FDK34,13.35,Low Fat,0.038340116,Processed Foods,240.1564,OUT027,34,1,0,7150.692,4,False,False,False,True
FDW48,18.0,Low Fat,0.0,Processed Foods,81.8618,OUT019,34,0,2,161.1236,1,True,False,False,False
FDE08,18.2,NA,0.049080853,Fruits and Vegetables,147.7734,OUT027,34,1,0,4602.6754,3,False,False,False,True
NCH06,12.3,NA,0.076183667,Non perishable,245.646,OUT027,34,1,0,3695.19,4,False,False,False,True
FDV08,7.35,NA,0.028711412,Fruits and Vegetables,39.9454,OUT018,10,1,0,377.5086,1,False,False,True,False
FDQ15,20.35,Regular,0.0,Meats,81.6276,OUT046,22,0,2,1787.0072,1,False,True,False,False
FDL56,14.1,NA,0.12517151,Fruits and Vegetables,88.9198,OUT027,34,1,0,3139.9128,1,False,False,False,True
DRC12,17.85,NA,0.037826873,Drinks,189.7188,OUT046,22,0,2,2285.0256,4,False,True,False,False
FDX49,4.615,Regular,0.101747034,Processed Foods,231.33,OUT013,32,2,0,4660.6,4,False,True,False,False
FDJ09,15.0,Low Fat,0.0,Processed Foods,47.2744,OUT035,15,0,1,679.116,1,False,True,False,False
FDN23,6.575,Regular,0.075142108,Starchy Foods,145.8444,OUT027,34,1,0,3773.7544,3,False,False,False,True
DRD01,12.1,NA,0.061424738,Drinks,56.7614,OUT018,10,1,0,1049.9666,1,False,False,True,False
FDS43,11.65,NA,0.040597054,Fruits and Vegetables,187.324,OUT045,17,0,1,1864.24,4,False,True,False,False
FDY48,14.0,Low Fat,0.041556697,Processed Foods,104.4332,OUT019,34,0,2,307.5996,2,True,False,False,False
FDU12,15.5,Regular,0.126791761,Processed Foods,262.1568,OUT010,21,0,0,527.3136,4,True,False,False,False
FDX33,9.195,Regular,0.117484834,Processed Foods,158.5578,OUT046,22,0,2,2406.867,3,False,True,False,False
FDH45,15.1,NA,0.106097275,Fruits and Vegetables,43.2796,OUT018,10,1,0,123.8388,1,False,False,True,False
FDJ10,5.095,Regular,0.129395895,Processed Foods,140.3838,OUT013,32,2,0,1826.2894,2,False,True,False,False
FDX32,15.1,NA,0.100265027,Fruits and Vegetables,142.5786,OUT018,10,1,0,3323.0078,3,False,False,True,False
DRG51,12.1,Low Fat,0.011557563,Drinks,165.3526,OUT049,20,1,2,3453.5046,3,False,True,False,False
NCB31,6.235,NA,0.119157788,Non perishable,263.791,OUT018,10,1,0,2103.928,4,False,False,True,False
FDW47,15.0,Low Fat,0.077622622,Starchy Foods,121.8414,OUT010,21,0,0,243.6828,2,True,False,False,False
FDT20,10.5,NA,0.041194986,Fruits and Vegetables,39.1164,OUT027,34,1,0,1235.7248,1,False,False,False,True
FDI34,10.65,Regular,0.085135953,Processed Foods,232.3668,OUT046,22,0,2,3685.8688,4,False,True,False,False
FDH56,9.8,NA,0.106816919,Fruits and Vegetables,114.2492,OUT010,21,0,0,463.3968,2,True,False,False,False
DRJ47,18.25,NA,0.04421348,Drinks,173.408,OUT013,32,2,0,1038.648,3,False,True,False,False
FDP04,15.35,Low Fat,0.013745883,Processed Foods,62.0168,OUT027,34,1,0,1534.0032,1,False,False,False,True
NCZ06,19.6,NA,0.094308058,Non perishable,251.8698,OUT049,20,1,2,3551.3772,4,False,True,False,False
FDY37,17.0,Regular,0.026622757,Processed Foods,144.247,OUT045,17,0,1,3149.234,3,False,True,False,False
FDO46,9.6,Regular,0.014234595,Processed Foods,190.2872,OUT049,20,1,2,4727.18,4,False,True,False,False
FDI10,8.51,Regular,0.078526225,Processed Foods,173.5422,OUT049,20,1,2,5000.8238,3,False,True,False,False
NCT42,5.88,NA,0.0249887,Non perishable,150.3392,OUT018,10,1,0,447.4176,3,False,False,True,False
FDE29,8.905,Low Fat,0.143712172,Processed Foods,60.2878,OUT018,10,1,0,1151.1682,1,False,False,True,False
FDQ11,5.695,Regular,0.067373081,Starchy Foods,258.8988,OUT027,34,1,0,3083.9856,4,False,False,False,True
FDS20,8.85,NA,0.053822086,Fruits and Vegetables,183.8292,OUT013,32,2,0,2554.0088,3,False,True,False,False
FDR26,20.7,Low Fat,0.043011277,Drinks,177.2028,OUT018,10,1,0,3364.9532,3,False,False,True,False
NCH43,8.42,NA,0.123557061,Non perishable,216.6192,OUT019,34,0,2,215.7192,4,True,False,False,False
FDO25,6.3,Low Fat,0.127968205,Processed Foods,209.627,OUT018,10,1,0,3984.813,4,False,False,True,False
FDB40,17.5,Regular,0.007570599,Drinks,144.6102,OUT018,10,1,0,2187.153,3,False,False,True,False
FDB14,20.25,Regular,0.0,Processed Foods,92.312,OUT019,34,0,2,372.848,1,True,False,False,False
FDW23,5.765,Low Fat,0.081996785,Processed Foods,40.1164,OUT035,15,0,1,540.6296,1,False,True,False,False
FDZ23,17.75,Regular,0.067777778,Processed Foods,186.924,OUT018,10,1,0,3169.208,4,False,False,True,False
FDX35,5.035,Regular,0.080362549,Starchy Foods,229.0036,OUT017,12,0,1,4326.3684,4,False,True,False,False
FDX24,8.355,Low Fat,0.013929059,Processed Foods,94.1462,OUT046,22,0,2,2221.1088,2,False,True,False,False
